[00:00:49] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72186 chunks (18.36%), ETA: 5:01:33, Rate: 17.7 cps, Current: -81, 112
[00:00:50] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72194 chunks (18.36%), ETA: 5:08:23, Rate: 17.3 cps, Current: -80, 113
[00:00:51] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72203 chunks (18.37%), ETA: 5:14:29, Rate: 17.0 cps, Current: -79, 115
[00:00:52] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72229 chunks (18.37%), ETA: 5:15:17, Rate: 17.0 cps, Current: -78, 112
[00:00:53] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72255 chunks (18.38%), ETA: 5:17:52, Rate: 16.8 cps, Current: -73, 114
[00:00:54] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72275 chunks (18.38%), ETA: 5:22:54, Rate: 16.6 cps, Current: -79, 126
[00:00:55] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72301 chunks (18.39%), ETA: 5:21:31, Rate: 16.6 cps, Current: -74, 121
[00:00:57] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72318 chunks (18.40%), ETA: 5:21:28, Rate: 16.6 cps, Current: -71, 120
[00:00:58] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72334 chunks (18.40%), ETA: 5:24:23, Rate: 16.5 cps, Current: -73, 126
[00:00:59] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72389 chunks (18.41%), ETA: 5:02:07, Rate: 17.7 cps, Current: -66, 119
[00:01:00] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72421 chunks (18.42%), ETA: 4:58:12, Rate: 17.9 cps, Current: -65, 115
[00:01:01] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72456 chunks (18.43%), ETA: 4:56:38, Rate: 18.0 cps, Current: -65, 106
[00:01:02] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72489 chunks (18.44%), ETA: 4:45:20, Rate: 18.7 cps, Current: -66, 104
[00:01:03] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72520 chunks (18.45%), ETA: 4:39:59, Rate: 19.1 cps, Current: -72, 109
[00:01:05] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72563 chunks (18.46%), ETA: 4:27:12, Rate: 20.0 cps, Current: -73, 105
[00:01:06] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72592 chunks (18.47%), ETA: 4:20:10, Rate: 20.5 cps, Current: -79, 96
[00:01:07] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72641 chunks (18.48%), ETA: 3:53:17, Rate: 22.9 cps, Current: -72, 96
[00:01:10] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72705 chunks (18.49%), ETA: 3:45:09, Rate: 23.7 cps, Current: -94, 128
[00:01:11] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72732 chunks (18.50%), ETA: 3:41:30, Rate: 24.1 cps, Current: -91, 134
[00:01:12] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72755 chunks (18.51%), ETA: 3:42:04, Rate: 24.0 cps, Current: -90, 135
[00:01:14] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72787 chunks (18.51%), ETA: 3:38:07, Rate: 24.5 cps, Current: -84, 130
[00:01:15] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72813 chunks (18.52%), ETA: 3:36:19, Rate: 24.7 cps, Current: -82, 131
[00:01:16] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72834 chunks (18.53%), ETA: 3:35:11, Rate: 24.8 cps, Current: -83, 135
[00:01:17] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72851 chunks (18.53%), ETA: 3:40:23, Rate: 24.2 cps, Current: -82, 136
[00:01:18] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72871 chunks (18.54%), ETA: 3:48:55, Rate: 23.3 cps, Current: -86, 141
[00:01:19] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72897 chunks (18.54%), ETA: 3:42:37, Rate: 24.0 cps, Current: -87, 142
[00:01:20] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72924 chunks (18.55%), ETA: 3:36:46, Rate: 24.6 cps, Current: -92, 138
[00:01:21] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72945 chunks (18.55%), ETA: 3:37:52, Rate: 24.5 cps, Current: -94, 140
[00:01:22] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72960 chunks (18.56%), ETA: 3:40:46, Rate: 24.2 cps, Current: -94, 145
[00:01:23] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72977 chunks (18.56%), ETA: 3:42:15, Rate: 24.0 cps, Current: -89, 145
[00:01:25] [Server thread/INFO]: [Chunky] Task running for world. Processed: 72993 chunks (18.57%), ETA: 3:48:20, Rate: 23.4 cps, Current: -96, 147
[00:01:26] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73003 chunks (18.57%), ETA: 3:50:34, Rate: 23.1 cps, Current: -91, 150
[00:01:28] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73009 chunks (18.57%), ETA: 4:10:04, Rate: 21.3 cps, Current: -89, 148
[00:01:29] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73011 chunks (18.57%), ETA: 4:24:51, Rate: 20.1 cps, Current: -95, 149
[00:01:30] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73023 chunks (18.57%), ETA: 4:32:14, Rate: 19.6 cps, Current: -94, 152
[00:01:32] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73028 chunks (18.58%), ETA: 4:50:34, Rate: 18.4 cps, Current: -95, 154
[00:01:33] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73059 chunks (18.58%), ETA: 4:49:39, Rate: 18.4 cps, Current: -96, 154
[00:01:34] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73070 chunks (18.59%), ETA: 5:08:04, Rate: 17.3 cps, Current: -90, 153
[00:01:35] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73092 chunks (18.59%), ETA: 5:11:14, Rate: 17.1 cps, Current: -89, 158
[00:01:36] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73108 chunks (18.60%), ETA: 5:32:36, Rate: 16.0 cps, Current: -85, 157
[00:01:37] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73129 chunks (18.60%), ETA: 5:39:15, Rate: 15.7 cps, Current: -83, 154
[00:01:38] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73145 chunks (18.61%), ETA: 5:40:13, Rate: 15.7 cps, Current: -82, 154
[00:01:39] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73199 chunks (18.62%), ETA: 5:13:50, Rate: 17.0 cps, Current: -83, 148
[00:01:41] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73217 chunks (18.62%), ETA: 5:23:15, Rate: 16.5 cps, Current: -80, 144
[00:01:42] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73221 chunks (18.63%), ETA: 5:33:57, Rate: 16.0 cps, Current: -80, 147
[00:01:43] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73252 chunks (18.63%), ETA: 5:35:12, Rate: 15.9 cps, Current: -79, 150
[00:01:44] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73269 chunks (18.64%), ETA: 5:39:43, Rate: 15.7 cps, Current: -78, 151
[00:01:45] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73298 chunks (18.64%), ETA: 5:35:39, Rate: 15.9 cps, Current: -78, 155
[00:01:46] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73324 chunks (18.65%), ETA: 5:28:20, Rate: 16.2 cps, Current: -72, 152
[00:01:47] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73336 chunks (18.65%), ETA: 5:30:36, Rate: 16.1 cps, Current: -74, 155
[00:01:48] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73351 chunks (18.66%), ETA: 5:39:09, Rate: 15.7 cps, Current: -72, 157
[00:01:49] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73411 chunks (18.67%), ETA: 5:17:12, Rate: 16.8 cps, Current: -67, 151
[00:01:50] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73442 chunks (18.68%), ETA: 5:11:48, Rate: 17.1 cps, Current: -65, 147
[00:01:52] [Server thread/INFO]: [Chunky] Task running for world. Processed: 73480 chunks (18.69%), ETA: 5:04:56, Rate: 17.5 cps, Current: -65, 138
